ID         alpha     delta           x         y         v          ev         bv         ebv        ub         eub        vi         evi
206        251.891031   -43.607511  3946.200   643.428     13.729      0.006      0.831      0.008      0.361      0.011      0.853      0.006
207        252.322753   -43.441803  1354.720  2014.790     13.731      0.005      0.866      0.007      0.334      0.008      0.984      0.006
208        252.480443   -43.496869   408.164  1559.080     13.731      0.006      0.682      0.009      0.435      0.010      0.877      0.007
209        252.302449   -43.257523  1476.600  3539.840     13.732      0.005      0.795      0.008      0.291      0.009      0.857      0.006
210        252.289408   -43.471430  1554.880  1769.600     13.742      0.005      0.848      0.008      0.398      0.009      1.051      0.006
212        252.298577   -43.544697  1499.840  1163.260     13.743      0.005      0.657      0.007      0.197      0.009      0.822      0.005
211        252.131369   -43.524493  2503.530  1330.470     13.743      0.004      0.820      0.007      0.162      0.011      0.905      0.004
213        251.906384   -43.405278  3854.040  2317.060     13.746      0.005      1.779      0.007      1.790      0.020      1.950      0.006
215        252.333615   -43.281463  1289.520  3341.720     13.750      0.007      0.769      0.009      0.471      0.010      0.932      0.007
214        252.080142   -43.336797  2811.030  2883.790     13.750      0.006      1.599      0.009      1.574      0.019      1.763      0.006
216        252.453073   -43.524646   572.453  1329.200     13.756      0.005      0.786      0.009      0.525      0.013      0.923      0.006
217        252.379848   -43.508782  1012.000  1460.490     13.770      0.004      1.009      0.007      0.460      0.010      1.194      0.005
218        252.149480   -43.481861  2394.820  1683.280     13.771      0.004      0.765      0.006      0.402      0.009      0.974      0.005
219        252.368276   -43.574148  1081.460   919.535     13.782      0.006      1.529      0.011      1.267      0.016      1.819      0.006
220        252.463461   -43.293077   510.099  3245.610     13.786      0.007      1.651      0.009      1.776      0.020      1.770      0.006
221        252.368989   -43.232457  1077.180  3747.280     13.789      0.008      1.562      0.011      1.358      0.016      1.785      0.008
222        252.424319   -43.230215   745.057  3765.840     13.794      0.007      1.697      0.010      1.514      0.020      1.940      0.007
223        252.548144   -43.574694     1.777   915.017     13.804      0.010      2.170      0.014 nan       nan       4.299      0.018
224        252.530764   -43.293426   106.103  3242.720     13.811      0.005      0.732      0.007      0.162      0.010      0.819      0.006
225        252.168296   -43.388970  2281.870  2452.020     13.812      0.007      1.621      0.012      1.533      0.021      1.754      0.008
226        252.034344   -43.332579  3085.940  2918.700     13.813      0.005      0.974      0.008      0.637      0.013      1.030      0.005
227        252.101141   -43.197485  2684.980  4036.700     13.821      0.006      0.610      0.012      0.449      0.016      0.738      0.006
228        252.350204   -43.372068  1189.940  2591.900     13.822      0.005      0.689      0.008      0.133      0.011      0.817      0.005
229        252.394430   -43.539834   924.470  1203.510     13.822      0.006      1.566      0.010      1.487      0.017      1.765      0.006
230        252.399093   -43.410203   896.478  2276.300     13.838      0.004      0.738      0.007      0.493      0.010      0.954      0.005
231        252.424390   -43.463191   744.630  1837.790     13.841      0.006      1.501      0.008      1.287      0.015      1.743      0.006
232        252.360961   -43.434611  1125.370  2074.310     13.850      0.005      1.594      0.008      1.491      0.017      1.760      0.006
233        252.122910   -43.619841  2554.310   541.391     13.855      0.005      0.661      0.007      0.363      0.009      0.771      0.005
234        252.047783   -43.365647  3005.270  2645.040     13.861      0.005      2.024      0.010      1.739      0.027      2.254      0.007
235        252.152034   -43.522604  2379.490  1346.100     13.865      0.005      1.986      0.008      1.439      0.024      2.243      0.005
236        252.074588   -43.575996  2844.370   904.238     13.865      0.005      0.822      0.008      0.353      0.011      0.896      0.006
237        252.045727   -43.502122  3017.610  1515.600     13.870      0.004      1.106      0.007      1.045      0.014      1.186      0.005
238        252.461609   -43.373345   521.219  2581.330     13.870      0.005      1.519      0.008      1.235      0.014      1.753      0.006
239        252.547787   -43.406721     3.919  2305.120     13.874      0.004      1.510      0.007      1.585      0.020      1.688      0.005
241        252.112296   -43.330472  2618.020  2936.140     13.875      0.005      1.608      0.008      1.341      0.020      1.749      0.005
240        252.014851   -43.289166  3202.950  3277.970     13.875      0.004      1.451      0.007      0.993      0.013      1.737      0.004
243        252.029255   -43.681500  3116.490    31.115     13.875      0.007      0.705      0.009      0.426      0.012      0.888      0.007
242        251.904218   -43.556135  3867.040  1068.610     13.875      0.004      2.361      0.008      1.266      0.030      2.928      0.005
244        252.084668   -43.419529  2783.860  2199.120     13.880      0.004      0.881      0.008      0.439      0.012      0.923      0.005
245        252.301764   -43.228084  1480.710  3783.470     13.882      0.005      0.685      0.008      0.412      0.009      0.825      0.005
246        252.547419   -43.235422     6.128  3722.750     13.883      0.006      0.869      0.010      0.346      0.014      1.083      0.007
247        252.214751   -43.636803  2003.020   401.015     13.884      0.005      0.912      0.009      0.553      0.013      0.993      0.005
249        252.249852   -43.450572  1792.320  1942.220     13.885      0.009      0.737      0.011      0.120      0.010      0.917      0.009
248        252.280995   -43.593528  1605.380   759.153     13.885      0.004      0.866      0.006      0.516      0.010      1.096      0.005
250        252.462408   -43.629715   516.421   459.678     13.892      0.005      0.619      0.007      0.460      0.010      0.777      0.006
251        251.925540   -43.602966  3739.050   681.048     13.894      0.004      1.771      0.007      1.491      0.020      2.033      0.005
252        252.275081   -43.543222  1640.880  1175.470     13.897      0.006      0.740      0.008      0.503      0.010      0.933      0.006
253        251.944969   -43.672931  3622.430   102.032     13.899      0.010      1.671      0.013      1.618      0.021      1.924      0.010
254        252.473434   -43.653315   450.238   264.365     13.901      0.006      2.614      0.010      0.622      0.027      3.659      0.009
