ID        alpha     delta          x         y        v         ev        bv        ebv       ub        eub       vi        evi
121       253.900142   -45.121516   306.378  841.761    14.171     0.005     1.388     0.006     0.902     0.006     2.005     0.009
122       253.753146   -45.061465  1160.010  343.819    14.197     0.004     0.925     0.005     0.704     0.005     1.332     0.010
123       253.645967   -45.189546  1782.420 1405.850    14.215     0.008     2.313     0.011     0.675     0.023     4.040     0.009
124       253.630352   -45.045186  1873.100  208.841    14.215     0.019     1.548     0.022     1.335     0.011     1.762     0.020
125       253.801969   -45.167835   876.484 1225.830    14.231     0.007     0.703     0.008     0.261     0.010     0.897     0.009
126       253.675078   -45.126606  1613.370  883.964    14.253     0.006     1.624     0.008     1.462     0.011     1.963     0.007
127       253.763616   -45.364768  1099.210 2858.770    14.255     0.005     0.834     0.007     0.473     0.006     1.004     0.008
128       253.658386   -45.223505  1710.300 1687.440    14.268     0.008     1.029     0.011     0.362     0.013     1.498     0.011
129       253.760735   -45.136787  1115.940  968.383    14.269     0.005     0.899     0.006     0.677     0.010     1.320     0.007
130       253.853476   -45.046970   577.376  223.635    14.270     0.008     0.709     0.009     0.360     0.006     1.051     0.015
131       253.880011   -45.217861   423.283 1640.640    14.275     0.019     2.372     0.021     0.879     0.015     3.589     0.021
132       253.739606   -45.188570  1238.640 1397.760    14.278     0.010     0.915     0.011     0.457     0.013     1.344     0.012
133       253.740438   -45.117276  1233.810  806.597    14.300     0.004     2.157     0.006     1.355     0.016     3.163     0.008
134       253.771573   -45.091012  1053.000  588.823    14.306     0.003     0.759     0.004     0.360     0.005     1.146     0.009
135       253.775243   -45.057514  1031.690  311.064    14.320     0.005     0.761     0.006     0.526     0.005     1.124     0.012
136       253.912768   -45.065459   233.055  376.938    14.321     0.009     0.928     0.010     0.541     0.006     1.274     0.015
137       253.653930   -45.046123  1736.180  216.612    14.335     0.003     1.629     0.005     1.558     0.009     1.976     0.009
138       253.706864   -45.054106  1428.780  282.805    14.344     0.005     1.653     0.007     1.390     0.010     2.070     0.010
139       253.616159   -45.164363  1955.520 1197.040    14.347     0.007     0.821     0.008     0.603     0.010     1.203     0.010
140       253.640658   -45.068226  1813.250  399.887    14.365     0.003     0.985     0.005     0.872     0.006     1.178     0.007
141       253.614673   -45.129944  1964.150  911.640    14.375     0.007     1.601     0.008     1.453     0.012     1.946     0.009
142       253.745101   -45.042366  1206.730  185.458    14.393     0.006     0.809     0.007     0.539     0.006     1.014     0.013
143       253.856102   -45.048414   562.124  235.602    14.393     0.008     0.984     0.010     0.524     0.007     1.312     0.016
144       253.621189   -45.053825  1926.310  280.474    14.395     0.004     1.541     0.006     1.463     0.009     1.953     0.007
145       253.769500   -45.087307  1065.040  558.104    14.395     0.003     0.998     0.005     0.525     0.006     1.345     0.008
146       253.653458   -45.292087  1738.920 2256.110    14.397     0.007     1.067     0.009     0.765     0.010     1.489     0.014
147       253.827211   -45.157318   729.900 1138.620    14.409     0.006     0.838     0.008     0.590     0.009     1.006     0.009
148       253.825579   -45.095733   739.379  627.971    14.427     0.004     0.967     0.006     0.514     0.006     1.296     0.009
149       253.673648   -45.253773  1621.670 1938.420    14.435     0.023     0.849     0.037     0.550     0.033     1.183     0.028
150       253.721982   -45.095467  1340.990  625.764    14.449     0.005     0.983     0.006     0.468     0.010     1.358     0.009
151       253.928574   -45.029150   141.264   75.870    14.454     0.013     1.732     0.016     1.634     0.020     2.065     0.024
152       253.633908   -45.243145  1852.450 1850.290    14.459     0.006     0.853     0.009     0.659     0.013     1.184     0.013
