# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
ID     alpha     delta        x        y       v       ev        bv      ebv     ub      eub       vi       evi
197    16.930629    -39.435124    628.256    1477.06    14.073    0.007    0.7    0.009    0.342    0.01    0.967    0.01
198    16.918238    -39.554807    1831.28    2466.17    14.102    0.008    0.797    0.013    0.196    0.014    1.066    0.01
199    16.916657    -39.340309    1984.72    693.461    14.11    0.01    0.682    0.018    0.321    0.019    0.845    0.011
200    16.92506    -39.456345    1168.9    1652.44    14.116    0.005    0.562    0.01    0.342    0.012    0.753    0.008
201    16.916141    -39.53715    2034.9    2320.25    14.125    0.014    0.87    0.029    0.479    0.031    1.201    0.015
202    16.924314    -39.410241    1241.35    1271.41    14.126    0.007    0.616    0.011    0.327    0.014    0.878    0.01
203    16.935222    -39.542081    182.32    2361    14.127    0.007    1.045    0.012    0.357    0.013    1.233    0.009
204    16.935626    -39.287097    143.152    253.692    14.135    0.015    0.734    0.022    0.259    0.019    0.948    0.017
205    16.933402    -39.337517    359.033    670.385    14.142    0.007    0.561    0.009    0.334    0.009    0.754    0.009
206    16.918716    -39.264235    1784.82    64.753    14.154    0.017        nan      nan     nan      nan    1.545    0.017
207    16.929598    -39.274202    728.306    147.121    14.156    0.012    0.555    0.019    0.325    0.019    0.814    0.014
208    16.926415    -39.551719    1037.41    2440.65    14.164    0.008    0.591    0.014    0.33    0.015    0.785    0.01
209    16.93075    -39.398465    616.521    1174.09    14.171    0.006    0.82    0.008    0.306    0.009    1.031    0.008
210    16.933069    -39.423287    391.358    1379.23    14.172    0.006    0.583    0.007    0.338    0.008    0.794    0.008
211    16.916964    -39.557    1954.99    2484.3    14.187    0.01    0.586    0.02    0.341    0.02    0.804    0.012
212    16.93186    -39.624522    508.746    3042.33    14.19    0.006    0.857    0.02    0.295    0.023    1.101    0.008
213    16.926306    -39.539011    1047.96    2335.63    14.227    0.009    0.887    0.014    0.301    0.013    1.143    0.012
214    16.931106    -39.516596    581.945    2150.38    14.233    0.007    1.246    0.011    1.362    0.013    1.518    0.01
215    16.928932    -39.450437    793.018    1603.61    14.24    0.043    0.128    0.045   nan     nan       nan       nan
216    16.930758    -39.545694    615.683    2390.86    14.255    0.008    0.666    0.013    0.345    0.013    0.897    0.011
217    16.919196    -39.420177    1738.22    1353.53    14.265    0.008    0.751    0.011    0.338    0.011    1.027    0.011
218    16.934544    -39.329258    248.193    602.129    14.266    0.008    1.147    0.013    0.907    0.014    1.307    0.011
219    16.926179    -39.526896    1060.29    2235.5    14.266    0.008    0.597    0.01    0.337    0.01    0.824    0.012
220    16.921894    -39.485284    1476.3    1891.6    14.276    0.009    0.622    0.011    0.32    0.01    0.824    0.011
221    16.932147    -39.574381    480.863    2627.94    14.278    0.006    0.758    0.015    0.494    0.017    1.078    0.008
222    16.91618    -39.610773    2031.04    2928.7    14.28    0.017    0.863    0.037    0.622    0.04    1.219    0.019
223    16.925946    -39.53374    1082.88    2292.07    14.312    0.009    0.658    0.013    0.316    0.013    0.88    0.012
224    16.926168    -39.296297    1061.39    329.725    14.318    0.007    1.022    0.012    0.625    0.016    1.295    0.009
225    16.926346    -39.472926    1044.05    1789.47    14.318    0.008    0.628    0.012    0.336    0.013    0.812    0.01
226    16.918247    -39.450203    1830.38    1601.68    14.32    0.007    0.704    0.009    0.376    0.009    0.954    0.009
227    16.926269    -39.457166    1051.58    1659.22    14.328    0.005    0.606    0.011    0.285    0.014    0.815    0.008
228    16.930915    -39.381677    600.483    1035.35    14.329    0.005    0.581    0.007    0.346    0.009    0.815    0.007
229    16.934186    -39.375197    282.945    981.791    14.333    0.005    0.823    0.007    0.255    0.008    1.073    0.007
230    16.928193    -39.396184    864.743    1155.24    14.338    0.006    0.568    0.008    0.365    0.01    0.781    0.009
231    16.919419    -39.355082    1716.62    815.551    14.35    0.005    1.93    0.014    1.492    0.021    2.368    0.007
232    16.92295    -39.459606    1373.75    1679.39    14.353    0.006    0.88    0.01    0.366    0.011    1.08    0.008
233    16.920155    -39.520749    1645.12    2184.7    14.362    0.069    -0.913    0.071   nan     nan       nan       nan
234    16.931916    -39.528783    503.342    2251.1    14.365    0.008    0.763    0.012    0.455    0.012    1.051    0.011
235    16.926685    -39.512682    1011.18    2118.03    14.374    0.009    0.82    0.013    0.287    0.012       nan       nan
236    16.930316    -39.49105    658.593    1939.26    14.393    0.005    2.097    0.009    1.716    0.016    2.657    0.009
237    16.93569    -39.330508    136.919    612.461    14.407    0.012    0.8    0.019    0.233    0.018    1.04    0.014
238    16.917379    -39.315678    1914.64    489.897    14.415    0.011    0.987    0.019    0.478    0.018    1.163    0.012
239    16.926706    -39.268605    1009.09    100.867    14.431    0.011    0.835    0.015    0.398    0.017    1.148    0.012
240    16.933764    -39.597442    323.869    2818.53    14.435    0.005    0.692    0.017    0.378    0.02    0.901    0.008
241    16.926031    -39.588407    1074.69    2743.86    14.449    0.008    0.836    0.019    0.244    0.021    1.075    0.011
242    16.916134    -39.35088    2035.53    780.829    14.453    0.015    1.111    0.046    0.731    0.051    1.476    0.016
243    16.927897    -39.511331    893.456    2106.87    14.472    0.011    0.652    0.013    0.289    0.01       nan       nan
244    16.92323    -39.543515    1346.64    2372.85    14.477    0.007    0.891    0.013    0.308    0.014    1.121    0.009
245    16.916812    -39.312488    1969.69    463.535    14.484    0.011    0.936    0.018    0.354    0.018    1.213    0.013
246    16.935504    -39.344583    154.936    728.782    14.485    0.01    0.777    0.015    0.249    0.014    1.008    0.012
247    16.918656    -39.364019    1790.66    889.41    14.495    0.007    0.773    0.012    0.298    0.013    1.095    0.01
248    16.936066    -39.360774    100.389    862.593    14.5    0.01    0.861    0.013    0.357    0.011    1.102    0.012
249    16.920013    -39.48895    1658.89    1921.9    14.501    0.008    0.702    0.011    0.343    0.009    0.943    0.01
250    16.93253    -39.394056    443.659    1137.65    14.501    0.017    0.943    0.02    0.427    0.013    1.675    0.034
251    16.920526    -39.452067    1609.09    1617.08    14.502    0.007    1.026    0.009    0.66    0.012    1.27    0.009
