ID        alpha     delta          x         y         v         ev        bv        ebv       ub        eub       vi        evi
163       249.962628-43.416264  1824.520  1501.110    14.574     0.002     0.811     0.002     INDEF     INDEF     1.048     0.003
164       250.141424-43.470273   647.994  1985.240    14.582     0.003     0.996     0.004     0.371     0.012     1.395     0.005
165       250.020738-43.354220  1442.140   944.960    14.584     0.001     0.621     0.002     0.273     0.007     0.864     0.002
166       249.940440-43.361023  1970.520  1005.940    14.600     0.005     0.641     0.007     0.375     0.011     0.997     0.005
167       250.162088-43.327567   512.023   706.052    14.602     0.003     1.115     0.003     INDEF     INDEF     1.300     0.004
168       250.076081-43.360018  1077.970   996.937    14.605     0.004     0.659     0.004     0.361     0.022     0.955     0.006
169       250.013176-43.336086  1491.900   782.411    14.610     0.003     1.686     0.003     INDEF     INDEF     1.988     0.004
170       250.061779-43.336699  1172.080   787.904    14.626     0.003     0.714     0.004     0.338     0.008     0.980     0.004
171       250.072791-43.347290  1099.620   882.842    14.628     0.003     0.641     0.003     0.295     0.006     0.909     0.003
172       250.144273-43.442401   629.249  1735.400    14.641     0.003     2.507     0.005     INDEF     INDEF     3.494     0.005
173       250.036704-43.376734  1337.080  1146.770    14.655     0.002     1.007     0.002     0.479     0.012     1.259     0.003
174       250.029747-43.383686  1382.860  1209.090    14.662     0.002     1.720     0.003     INDEF     INDEF     2.041     0.003
175       249.975287-43.352669  1741.220   931.063    14.668     0.005     0.939     0.006     0.375     0.012     1.292     0.014
176       250.059010-43.336143  1190.300   782.925    14.672     0.002     0.700     0.004     0.367     0.008     0.960     0.002
177       250.157960-43.431359   539.185  1636.420    14.680     0.002     0.838     0.003     0.240     0.025     1.109     0.002
178       250.235429-43.341383    29.418   829.896    14.685     0.002     0.753     0.003     0.113     0.009     0.996     0.003
179       250.111780-43.282068   843.062   298.211    14.692     0.002     0.651     0.004     0.359     0.010     0.984     0.002
180       250.026609-43.410272  1403.510  1447.400    14.695     0.002     0.721     0.002     0.293     0.021     1.024     0.003
181       250.145700-43.378499   619.857  1162.590    14.729     0.002     0.627     0.003     0.314     0.008     0.881     0.003
182       249.954035-43.313184  1881.060   577.126    14.729     0.002     1.469     0.003     INDEF     INDEF     1.772     0.004
183       250.033152-43.407962  1360.450  1426.690    14.731     0.003     0.696     0.003     0.330     0.009     0.978     0.003
184       249.958790-43.363673  1849.770  1029.700    14.742     0.003     1.748     0.003     INDEF     INDEF     2.102     0.004
185       250.029929-43.285398  1381.660   328.058    14.743     0.003     2.288     0.005     INDEF     INDEF     2.759     0.005
186       250.025809-43.370014  1408.770  1086.540    14.743     0.002     0.818     0.002     INDEF     INDEF     1.099     0.002
187       249.973240-43.465032  1754.690  1938.260    14.756     0.004     0.761     0.005     0.225     0.022     0.975     0.005
188       250.237955-43.318907    12.800   628.426    14.772     0.002     2.407     0.005     INDEF     INDEF     4.355     0.004
189       250.113231-43.466206   833.516  1948.780    14.797     0.002     0.682     0.003     0.342     0.008     0.940     0.004
190       249.999634-43.396885  1581.010  1327.400    14.802     0.002     0.814     0.002     0.289     0.008     1.043     0.002
191       250.025289-43.387349  1412.190  1241.920    14.806     0.002     0.716     0.002     0.381     0.010     1.009     0.002
192       250.204136-43.303367   235.337   489.129    14.809     0.001     1.336     0.003     INDEF     INDEF     1.626     0.003
193       250.179528-43.297598   397.260   437.412    14.815     0.002     1.502     0.004     INDEF     INDEF     1.759     0.003
194       250.152525-43.430006   574.952  1624.290    14.819     0.002     0.698     0.002     0.306     0.010     0.931     0.003
195       250.078190-43.256501  1064.090    69.026    14.819     0.011     1.036     0.034     INDEF     INDEF     INDEF     INDEF
196       250.065826-43.266355  1145.450   157.357    14.825     0.002     0.722     0.004     INDEF     INDEF     1.081     0.002
